3x3,  7258.txt, astar, disjointPDBVertical,    46, 1.25,    15,  4713
3x3,  7259.txt, astar, disjointPDBVertical,    22, 1.17,    15,  4854
3x3,  7260.txt, astar, disjointPDBVertical,    19, 1.15,    15,  4738
3x3,  7261.txt, astar, disjointPDBVertical,    15, 1.13,    15,  4714
3x3,  7262.txt, astar, disjointPDBVertical,    65, 1.28,    15,  4748
3x3,  7263.txt, astar, disjointPDBVertical,    15, 1.13,    15,  4816
3x3,  7264.txt, astar, disjointPDBVertical,    32, 1.21,    15,  4826
3x3,  7265.txt, astar, disjointPDBVertical,    44, 1.25,    15,  4679
3x3,  7266.txt, astar, disjointPDBVertical,    31, 1.21,    15,  4688
3x3,  7267.txt, astar, disjointPDBVertical,    16, 1.13,    15,  4818
3x3,  7268.txt, astar, disjointPDBVertical,  1415, 1.63,    15,  4838
3x3,  7269.txt, astar, disjointPDBVertical,  2118, 1.68,    15,  4930
3x3,  7270.txt, astar, disjointPDBVertical,    60, 1.28,    15,  4778
3x3,  7271.txt, astar, disjointPDBVertical,    18, 1.14,    15,  4744
3x3,  7272.txt, astar, disjointPDBVertical,    24, 1.18,    15,  4822
3x3,  7273.txt, astar, disjointPDBVertical,    16, 1.13,    15,  4830
3x3,  7274.txt, astar, disjointPDBVertical,    15, 1.12,    15,  4746
3x3,  7275.txt, astar, disjointPDBVertical,    36, 1.22,    15,  4754
3x3,  7276.txt, astar, disjointPDBVertical,    20, 1.15,    15,  4741
3x3,  7277.txt, astar, disjointPDBVertical,    69, 1.30,    15,  4732
3x3,  7278.txt, astar, disjointPDBVertical,    20, 1.15,    15,  4765
3x3,  7279.txt, astar, disjointPDBVertical,    40, 1.23,    15,  4790
3x3,  9975.txt, astar, disjointPDBVertical,   209, 1.38,    16,  4848
3x3,  9976.txt, astar, disjointPDBVertical,    31, 1.18,    16,  4708
3x3,  9977.txt, astar, disjointPDBVertical,    16, 1.12,    16,  4772
3x3,  9978.txt, astar, disjointPDBVertical,    43, 1.22,    16,  4775
3x3,  9979.txt, astar, disjointPDBVertical,   361, 1.44,    16,  4795
3x3,  9980.txt, astar, disjointPDBVertical,    17, 1.12,    16,  4688
3x3,  9981.txt, astar, disjointPDBVertical,    58, 1.25,    16,  4930
3x3,  9982.txt, astar, disjointPDBVertical,    18, 1.13,    16,  4680
3x3,  9983.txt, astar, disjointPDBVertical,   207, 1.38,    16,  4780
3x3,  9984.txt, astar, disjointPDBVertical,    32, 1.19,    16,  4695
3x3,  9985.txt, astar, disjointPDBVertical,    53, 1.24,    16,  4688
3x3,  9986.txt, astar, disjointPDBVertical,    21, 1.14,    16,  4695
3x3,  9987.txt, astar, disjointPDBVertical,    85, 1.28,    16,  4728
